Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep
0236;0236;Kartverket;Utgått;29.11.2017;1;Nes i Akershus;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0236/ebf9b911-d3dc-4202-8ea1-d920375eee44;
0237;0237;Kartverket;Utgått;29.11.2017;1;Eidsvoll;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0237/3f4f8527-1dc0-4327-a289-85cd3a48affa;
0238;0238;Kartverket;Utgått;29.11.2017;1;Nannestad;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0238/3aa05530-bc17-4d3f-8f7f-b1bc9ef29bc7;
0239;0239;Kartverket;Utgått;29.11.2017;1;Hurdal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0239/2571fea7-f03d-4403-a5cc-adbf9073dbba;
0301;0301;Kartverket;Gyldig;29.11.2017;1;Oslo;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0301/ecf22d40-4e4b-4fa1-a42b-07947a12b34a;
0401;0401;Kartverket;Utgått;29.11.2017;1;Hamar;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0401/c27b0e3d-1e9f-4606-9f4e-c1981def6704;
0402;0402;Kartverket;Utgått;29.11.2017;1;Kongsvinger;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0402/7459987a-6d57-42c3-a566-6be37dea2804;
0403;0403;Kartverket;Utgått;29.11.2017;1;Hamar;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0403/a790db62-425b-4538-99b5-daa4f0f7661a;
0412;0412;Kartverket;Utgått;29.11.2017;1;Ringsaker;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0412/d1805333-a7fa-4011-a0a3-c8250ac4353c;
0414;0414;Kartverket;Utgått;29.11.2017;1;Vang;;;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0414/f0570cb8-503b-4f8e-bce3-7a754d02edb7;
0415;0415;Kartverket;Utgått;29.11.2017;1;Løten;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0415/76ceaa7e-03a3-4750-acae-1bad01c44fc0;
0417;0417;Kartverket;Utgått;29.11.2017;1;Stange;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0417/b8603e40-a247-441b-811f-8d7c016a26f3;
0418;0418;Kartverket;Utgått;29.11.2017;1;Nord-Odal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0418/c5f641af-2926-4b80-9b6d-0dbf2243ef38;
0419;0419;Kartverket;Utgått;29.11.2017;1;Sør-Odal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0419/20a7b501-ee48-4388-8a30-4f48904e5bf2;
0420;0420;Kartverket;Utgått;29.11.2017;1;Eidskog;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0420/d2bba05f-8fb2-4764-8316-b944a10b43ad;
0423;0423;Kartverket;Utgått;29.11.2017;1;Grue;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0423/cac576ca-4c05-4e7e-8088-e5183f3014ed;
0425;0425;Kartverket;Utgått;29.11.2017;1;Åsnes;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0425/e9b719f5-e725-49ac-aad7-b00f1a624742;
0426;0426;Kartverket;Utgått;29.11.2017;1;Våler i Hedmark;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0426/110e3830-ad58-4f64-858b-2f00837f23bf;
0427;0427;Kartverket;Utgått;29.11.2017;1;Elverum;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0427/d4b2cdb1-3b9e-4641-a840-1b1f51e40954;
0428;0428;Kartverket;Utgått;29.11.2017;1;Trysil;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0428/8549dbac-fed8-4bb7-9734-81f3e3e32321;
0429;0429;Kartverket;Utgått;29.11.2017;1;Åmot;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0429/0c38cdd5-0a72-4d2a-b114-4bc8aaa52591;
0430;0430;Kartverket;Utgått;29.11.2017;1;Stor-Elvdal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0430/b88f619c-64f8-41dc-8081-b0dfe826e167;
0432;0432;Kartverket;Utgått;29.11.2017;1;Rendalen;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0432/621a7213-ec14-448d-a3ce-9660b9f6e928;
0434;0434;Kartverket;Utgått;29.11.2017;1;Engerdal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0434/18089cd0-0a5f-482f-8f50-568876f806c0;
0436;0436;Kartverket;Utgått;29.11.2017;1;Tolga;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0436/5d767365-604c-4fa4-aa98-8d1b234f54f5;
0437;0437;Kartverket;Utgått;29.11.2017;1;Tynset;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0437/d08a700f-675f-4802-a456-5b153968ab5f;
0438;0438;Kartverket;Utgått;29.11.2017;1;Alvdal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0438/479d89ec-54ff-4fca-ab50-c8d2f7d05785;
0439;0439;Kartverket;Utgått;29.11.2017;1;Folldal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0439/df31de97-72dc-44e6-a5b2-e2a09d039a86;
